,Lat,Long,HOUR,OCCURRED_ON_DATE,OFFENSE_DESCRIPTION,Risk_Category
50,42.34128702104515,-71.05467980204799,15,2024-01-28 15:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
51,42.34888987602383,-71.16088527702765,11,2023-12-25 11:51:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
52,42.32372866513147,-71.07101328699731,18,2023-11-09 18:07:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
53,42.24448225252297,-71.11899292879615,11,2023-06-23 11:24:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
54,42.38132453142911,-71.02804042233107,13,2023-06-23 13:47:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
55,42.30971815419562,-71.10429497557632,18,2023-12-05 18:10:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
56,42.34128702104515,-71.05467980204799,18,2023-05-03 18:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
57,42.28538978205523,-71.08457796285204,11,2024-05-15 11:18:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
58,42.256215542554976,-71.12402029533455,8,2023-12-22 08:01:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
59,42.268713987474506,-71.09221210792691,11,2023-12-24 11:25:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
60,42.30971815419562,-71.10429497557632,0,2024-03-01 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
61,42.297554856340426,-71.05970968687002,19,2024-04-15 19:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
62,42.34897639651582,-71.16277389226045,19,2023-07-12 19:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
63,42.32395253074931,-71.07408227748225,17,2023-06-04 17:47:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
64,42.32640422500423,-71.10063025980439,7,2023-11-08 07:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
65,42.30971815419562,-71.10429497557632,21,2023-11-08 21:08:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
66,42.25577618272394,-71.14547590535813,23,2023-07-29 23:40:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
67,42.33954152609665,-71.06940928222296,11,2023-11-05 11:01:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
68,42.34266908580924,-71.14098845220991,20,2023-08-23 20:17:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
69,42.32866239451696,-71.08563458516488,14,2024-05-13 14:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
